S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
574,8,Rajasthan(State),777,Salumbar,सलूम्‍बर,Rajasthan(State),SLR,,,Not Covered,,,,
286,20,Jharkhand(State),341,Saraikela Kharsawan,सरायकेला खरसावां,Jharkhand(State),SKH,17,369,Not Covered,,,,
162,22,Chhattisgarh(State),389,Surguja,सरगुजा,Chhattisgarh(State),SRG,02,401,Partially Covered,,,,
123,10,Bihar(State),217,Samastipur,समस्तीपुर,Bihar(State),SMS,19,221,Not Covered,,,,
379,23,Madhya Pradesh(State),426,Satna,सतना,Madhya Pradesh(State),STN,13,429,Not Covered,,,,
158,22,Chhattisgarh(State),762,Sakti,सक्ती,Chhattisgarh(State),SKT,,000,Not Covered,,,,
384,23,Madhya Pradesh(State),431,Sheopur,श्योपुर,Madhya Pradesh(State),SHP,01,418,Not Covered,,,,
125,10,Bihar(State),219,Sheikhpura,शेखपुरा,Bihar(State),SHK,26,228,Not Covered,,,,
126,10,Bihar(State),220,Sheohar,शिवहर,Bihar(State),SHH,03,205,Not Covered,,,,
385,23,Madhya Pradesh(State),432,Shivpuri,शिवपुरी,Madhya Pradesh(State),SVP,06,423,Not Covered,,,,
383,23,Madhya Pradesh(State),430,Shajapur,शाजापुर,Madhya Pradesh(State),SJR,22,436,Not Covered,,,,
382,23,Madhya Pradesh(State),429,Shahdol,शहडोल,Madhya Pradesh(State),SHD,16,460,Not Covered,,,,
130,10,Bihar(State),224,Vaishali,वैशाली,Bihar(State),VSH,18,220,Not Covered,,,,
391,23,Madhya Pradesh(State),437,Vidisha,विदिशा,Madhya Pradesh(State),VID,31,443,Not Covered,,,,
426,27,Maharashtra(State),499,Washim,वाशिम,Maharashtra(State),WSH,06,502,Not Covered,,,,
425,27,Maharashtra(State),498,Wardha,वर्धा,Maharashtra(State),WRD,08,504,Not Covered,,,,
280,20,Jharkhand(State),336,Lohardaga,लोहरदगा,Jharkhand(State),LHR,15,356,Not Covered,,,,
279,20,Jharkhand(State),335,Latehar,लातेहार,Jharkhand(State),LTH,02,359,Not Covered,,,,
408,27,Maharashtra(State),481,Latur,लातूर,Maharashtra(State),LTR,28,524,Not Covered,,,,
110,10,Bihar(State),204,Lakhisarai,लखीसराय,Bihar(State),LSR,25,227,Not Covered,,,,
121,10,Bihar(State),215,Rohtas,रोहतास,Bihar(State),RTS,32,234,Not Covered,,,,
677,5,Uttarakhand(State),54,Rudraprayag,रूद्रप्रयाग,Uttarakhand(State),RPY,03,058,Not Covered,,,,
377,23,Madhya Pradesh(State),424,Rewa,रीवा,Madhya Pradesh(State),REW,14,430,Not Covered,,,,
374,23,Madhya Pradesh(State),421,Raisen,रायसेन,Madhya Pradesh(State),RSN,34,446,Not Covered,,,,
156,22,Chhattisgarh(State),387,Raipur,रायपुर,Chhattisgarh(State),RPR,11,410,Not Covered,,,,
155,22,Chhattisgarh(State),386,Raigarh,रायगढ़,Chhattisgarh(State),RGR,04,403,Partially Covered,,,,
418,27,Maharashtra(State),491,Raigad,रायगड,Maharashtra(State),RGD,24,520,Not Covered,,,,
283,20,Jharkhand(State),607,Ramgarh,रामगढ़,Jharkhand(State),RMG,04,361,Not Covered,,,,
157,22,Chhattisgarh(State),388,Rajnandgaon,राजनंदगांव,Chhattisgarh(State),RJN,09,408,Not Covered,,,,
375,23,Madhya Pradesh(State),422,Rajgarh,राजगढ़,Madhya Pradesh(State),RJG,30,442,Not Covered,,,,
284,20,Jharkhand(State),339,Ranchi,रांची,Jharkhand(State),RNC,14,364,Not Covered,,,,
419,27,Maharashtra(State),492,Ratnagiri,रत्नागिरी,Maharashtra(State),RTN,32,528,Not Covered,,,,
376,23,Madhya Pradesh(State),423,Ratlam,रतलाम,Madhya Pradesh(State),RTL,20,434,Not Covered,,,,
427,27,Maharashtra(State),500,Yavatmal,यवतमाळ,Maharashtra(State),YVT,14,510,Not Covered,,,,
152,22,Chhattisgarh(State),761,Mohla-Manpur-Ambagarh Chouki,मोहला-मानपुर-अम्बागढ़ चौकी,Chhattisgarh(State),MHL,,000,Partially Covered,,,,
363,23,Madhya Pradesh(State),784,Maihar,मैहर,Madhya Pradesh(State),MHR,,,Not Covered,,,,
